File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
Camera.cs,111 (100.0%),90,81.1%,3,2.7%,18,16.2%
HUDManager.cs,14 (11.2%),13,92.9%,0,0.0%,1,7.1%
Hitbox.cs,87 (41.0%),64,73.6%,11,12.6%,12,13.8%
Hitcube.cs,100 (32.1%),90,90.0%,0,0.0%,10,10.0%
ICollidable.cs,7 (2.2%),7,100.0%,0,0.0%,0,0.0%
ITickable.cs,7 (2.1%),7,100.0%,0,0.0%,0,0.0%
InputManager.cs,67 (17.0%),50,74.6%,3,4.5%,14,20.9%
MainManager.cs,109 (21.7%),87,79.8%,10,9.2%,12,11.0%
MainMenuManager.cs,26 (4.9%),24,92.3%,0,0.0%,2,7.7%
ColorableSquareFace.cs,29 (5.2%),25,86.2%,0,0.0%,4,13.8%
RenderableFace.cs,70 (11.2%),56,80.0%,0,0.0%,14,20.0%
SquareFace.cs,90 (12.6%),78,86.7%,0,0.0%,12,13.3%
BouncyCube.cs,17 (2.3%),14,82.4%,0,0.0%,3,17.6%
BouncySphere.cs,27 (3.5%),23,85.2%,0,0.0%,4,14.8%
RenderableFacedObject.cs,34 (4.3%),29,85.3%,0,0.0%,5,14.7%
RenderableObject.cs,24 (2.9%),19,79.2%,0,0.0%,5,20.8%
RenderablePlane.cs,11 (1.3%),11,100.0%,0,0.0%,0,0.0%
RenderableRectangularPrism.cs,26 (3.0%),22,84.6%,0,0.0%,4,15.4%
RenderableWall.cs,20 (2.3%),17,85.0%,0,0.0%,3,15.0%
Sphere.cs,76 (8.0%),58,76.3%,4,5.3%,14,18.4%
Player.cs,74 (7.2%),66,89.2%,1,1.4%,7,9.5%
Program.cs,32 (3.0%),26,81.3%,3,9.4%,3,9.4%
AssemblyInfo.cs,35 (3.2%),14,40.0%,17,48.6%,4,11.4%
Resources.Designer.cs,70 (6.0%),40,57.1%,23,32.9%,7,10.0%
Settings.Designer.cs,29 (2.4%),16,55.2%,9,31.0%,4,13.8%
RenderController.cs,125 (9.5%),105,84.0%,1,0.8%,19,15.2%
ScreenManager.Designer.cs,40 (2.9%),24,60.0%,11,27.5%,5,12.5%
ScreenManager.cs,127 (8.6%),107,84.3%,0,0.0%,20,15.7%
SynchronizationManager.cs,17 (1.1%),16,94.1%,0,0.0%,1,5.9%
RectangularPrism.cs,22 (1.4%),20,90.9%,0,0.0%,2,9.1%
SquarePlane.cs,22 (1.4%),20,90.9%,0,0.0%,2,9.1%
Util.cs,26 (1.7%),22,84.6%,0,0.0%,4,15.4%
MenuWorld.cs,25 (1.6%),22,88.0%,0,0.0%,3,12.0%
RealWorld.cs,31 (1.9%),27,87.1%,0,0.0%,4,12.9%
World.cs,33 (2.0%),27,81.8%,0,0.0%,6,18.2%
Total,1660,1336,0.8,96,0.1,228,0.1
